key,cbs_Key,firstName,lastName,profileUrl,defaultAssetUrl,primaryPosition,compositeRating,compositeStarRating,compositeNationalRank,compositePositionRank,compositeStateRank,homeTown.city,homeTown.state,committedInstitution.institutionKey,committedInstitution.teamKey,committedInstitution.cbsKey,committedInstitution.name,committedInstitution.abbreviation,committedInstitution.fullName,signedInstitution.institutionKey,signedInstitution.teamKey,signedInstitution.cbsKey,signedInstitution.name,signedInstitution.abbreviation,signedInstitution.fullName,currentInstitution.institutionKey,currentInstitution.teamKey,currentInstitution.cbsKey,currentInstitution.name,currentInstitution.abbreviation,currentInstitution.fullName,committedInstitution,signedInstitution,homeTown
46136807,50015588,Chris,Cenac Jr.,/player/Chris-Cenac Jr.-46136807,/Uploads/Assets/788/343/13343788.jpg,C,99.80594619279795,5.0,6.0,1.0,1.0,Branson,MO,24051.0,90.0,21237.0,Houston,HOU,Houston Cougars,24051.0,90.0,21237.0,Houston,HOU,Houston Cougars,24051,90.0,21237.0,Houston,HOU,Houston Cougars,,,
46129311,50026701,Brayden,Burries,/player/Brayden-Burries-46129311,/Uploads/Assets/541/933/13933541.jpg,CG,99.6470161582786,5.0,10.0,2.0,2.0,San Bernardino,CA,24087.0,147.0,21335.0,Arizona,ARIZ,Arizona Wildcats,24087.0,147.0,21335.0,Arizona,ARIZ,Arizona Wildcats,24087,147.0,21335.0,Arizona,ARIZ,Arizona Wildcats,,,
46157743,0,Kuai,Deng,/player/Kuai-Deng-46157743,/Uploads/Assets/783/35/13035783.jpeg,PF,,,,,,Hillside,NJ,,,,,,,,,,,,,23953,,,Howard College,,Howard College,,,
46134902,28906156,Malachi,Moreno,/player/Malachi-Moreno-46134902,/Uploads/Assets/396/340/13340396.jpg,C,99.10165746598433,5.0,25.0,2.0,1.0,Georgetown,KY,24101.0,175.0,21357.0,Kentucky,KY,Kentucky Wildcats,24101.0,175.0,21357.0,Kentucky,KY,Kentucky Wildcats,24101,175.0,21357.0,Kentucky,KY,Kentucky Wildcats,,,
46118699,50014320,Chuck,Love III,/player/Chuck-Love III-46118699,/Uploads/Assets/204/360/13360204.jpg,SF,93.76085613356436,4.0,148.0,35.0,7.0,La Porte,IN,24338.0,528.0,21300.0,Loyola,LUC,Loyola Ramblers,24338.0,528.0,21300.0,Loyola,LUC,Loyola Ramblers,24338,528.0,21300.0,Loyola,LUC,Loyola Ramblers,,,
46134501,28906137,Tounde,Yessoufou,/player/Tounde-Yessoufou-46134501,/Uploads/Assets/265/342/13342265.jpg,SF,98.0,5.0,1.0,1.0,1.0,Benin,BENI,24019.0,26.0,21201.0,Baylor,BAY,Baylor Bears,24019.0,26.0,21201.0,Baylor,BAY,Baylor Bears,24019,26.0,21201.0,Baylor,BAY,Baylor Bears,,,
46118371,28906131,Amari,Allen,/player/Amari-Allen-46118371,/Uploads/Assets/401/910/13910401.jpg,SF,95.8414057568065,4.0,103.0,23.0,3.0,Green Bay,WI,24096.0,165.0,21352.0,Alabama,BAMA,Alabama Crimson Tide,24096.0,165.0,21352.0,Alabama,BAMA,Alabama Crimson Tide,24096,165.0,21352.0,Alabama,BAMA,Alabama Crimson Tide,,,
46133264,28906173,Mikel,Brown Jr.,/player/Mikel-Brown Jr.-46133264,/Uploads/Assets/671/924/13924671.jpg,PG,99.69221367073646,5.0,8.0,1.0,3.0,Daytona Beach,FL,24033.0,54.0,21238.0,Louisville,LOU,Louisville Cardinals,24033.0,54.0,21238.0,Louisville,LOU,Louisville Cardinals,24033,54.0,21238.0,Louisville,LOU,Louisville Cardinals,,,
46129297,28906155,Caleb,Wilson,/player/Caleb-Wilson-46129297,/Uploads/Assets/12/911/13911012.jpg,PF,99.80594619279796,5.0,5.0,3.0,1.0,Atlanta,GA,24014.0,16.0,21134.0,North Carolina,UNC,North Carolina Tar Heels,,,,,,,24014,16.0,21134.0,North Carolina,UNC,North Carolina Tar Heels,,,
46146973,29332336,Keaton,Wagler,/player/Keaton-Wagler-46146973,/Uploads/Assets/986/910/13910986.jpg,SG,89.52387327086122,4.0,264.0,47.0,4.0,Shawnee,KS,24039.0,66.0,21190.0,Illinois,ILL,Illinois Fighting Illini,24039.0,66.0,21190.0,Illinois,ILL,Illinois Fighting Illini,24039,66.0,21190.0,Illinois,ILL,Illinois Fighting Illini,,,
