year,player_key,full_name,position,hometown_city,hometown_state,committed_school,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,height,weight,actual_profile_url
2010,10576,Cody Larson,PF,Sioux Falls,SD,Florida,/player/Cody-Larson-10576,https://247sports.com/player/cody-larson-10576/,404,api_profile_url,'6-9,225,https://247sports.com/player/cody-larson-10576/high-school-14502/
2010,26143,Jalen Courtney,PF,Jackson,MS,LSU,/player/Jalen-Courtney-26143,https://247sports.com/player/jalen-courtney-26143/,404,api_profile_url,'6-7,200,https://247sports.com/player/jalen-courtney-26143/high-school-42399/
2010,10372,Jordan Sibert,SG,Cincinnati,OH,Ohio State,/player/Jordan-Sibert-10372,https://247sports.com/player/jordan-sibert-10372/,404,api_profile_url,'6-4,180,https://247sports.com/player/jordan-sibert-10372/high-school-12875/
2010,59194,Jelan Kendrick,SF,Marietta,GA,Memphis,/player/Jelan-Kendrick-59194,https://247sports.com/player/jelan-kendrick-59194/,404,api_profile_url,'6-6,186,https://247sports.com/player/jelan-kendrick-59194/high-school-102932/
2010,7839,Daniel Bejarano,SG,Phoenix,AZ,Arizona,/player/Daniel-Bejarano-7839,https://247sports.com/player/daniel-bejarano-7839/,404,api_profile_url,'6-5,200,https://247sports.com/player/daniel-bejarano-7839/high-school-4830/
2010,59338,Jordan Bachynski,C,Bakersfield,CA,Arizona State,/player/Jordan-Bachynski-59338,https://247sports.com/player/jordan-bachynski-59338/,404,api_profile_url,'7-2,245,
2010,59306,Brian Williams,SF,Baton Rouge,LA,Oklahoma State,/player/Brian-Williams-59306,https://247sports.com/player/brian-williams-59306/,404,api_profile_url,'6-5,190,https://247sports.com/player/brian-williams-59306/high-school-103155/
2010,59243,Will Regan,PF,Buffalo,NY,Virginia,/player/Will-Regan-59243,https://247sports.com/player/will-regan-59243/,404,api_profile_url,'6-8,220,
2010,60914,David Eads,PG,Austin,TX,Dartmouth,/player/David-Eads-60914,https://247sports.com/player/david-eads-60914/,404,api_profile_url,'6-2,184,https://247sports.com/player/david-eads-60914/high-school-105888/
2010,61320,Falando Jones,SG,Moorhead,MS,Mississippi Valley State,/player/Falando-Jones-61320,https://247sports.com/player/falando-jones-61320/,404,api_profile_url,'6-4,212,
2010,15709,Kelvin Gaines,C,Jacksonville,FL,,/player/Kelvin-Gaines-15709,https://247sports.com/player/kelvin-gaines-15709/,404,api_profile_url,'6-10,225,https://247sports.com/player/kelvin-gaines-59229/high-school-103003/
