year,player_key,first_name,last_name,full_name,position,height,weight,stars,rating,national_rank,position_rank,state_rank,hometown_city,hometown_state,committed_institution_key,committed_team_key,committed_school,committed_school_abbr,committed_school_full,signed_institution_key,signed_team_key,signed_school,signed_school_abbr,signed_school_full,current_institution_key,current_team_key,current_school,current_school_abbr,current_school_full,profile_url_api,profile_lookup_url,profile_lookup_status,profile_resolution_method,has_scouting_report,scouting_report,source
2011,1328,Levi,Randolph,Levi Randolph,SG,6-5,208,5.0,98.30200603773156,30.0,10.0,1.0,Madison,AL,24096.0,165.0,Alabama,BAMA,Alabama Crimson Tide,24096.0,165.0,Alabama,BAMA,Alabama Crimson Tide,24799,696.0,Boston,BOS,Boston Celtics,/player/Levi-Randolph-1328,https://247sports.com/player/levi-randolph-1328/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,59054,Moussa,Gueye,Moussa Gueye,C,7-0,270,4.0,90.0,145.0,16.0,10.0,Mattoon,IL,24096.0,165.0,Alabama,BAMA,Alabama Crimson Tide,24096.0,165.0,Alabama,BAMA,Alabama Crimson Tide,24223,522.0,Valparaiso,VALPO,Valparaiso Beacons,/player/Moussa-Gueye-59054,https://247sports.com/player/moussa-gueye-59054/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,33398,Jarmar,Gulley,Jarmar Gulley,SF,6-5,220,2.0,76.66666666666667,691.0,111.0,55.0,Beaumont,TX,24182.0,557.0,Missouri State,MOST,Missouri State Bears,24182.0,557.0,Missouri State,MOST,Missouri State Bears,24182,557.0,Missouri State,MOST,Missouri State Bears,/player/Jarmar-Gulley-33398,https://247sports.com/player/jarmar-gulley-33398/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,12100,Joseph,Uchebo,Joseph Uchebo,C,6-10,261,4.0,95.73369488901182,76.0,10.0,5.0,Raleigh,NC,24034.0,56.0,Pittsburgh,PITT,Pittsburgh Panthers,24034.0,56.0,Pittsburgh,PITT,Pittsburgh Panthers,24318,386.0,Charlotte,CHAR,Charlotte 49ers,/player/Joseph-Uchebo-12100,https://247sports.com/player/joseph-uchebo-12100/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,60610,Bryan,Smith,Bryan Smith,SG,6-2,195,2.0,76.66666666666667,519.0,127.0,12.0,Brooklyn,NY,,,,,,,,,,,16265,,Midwood,,Midwood,/player/Bryan-Smith-60610,https://247sports.com/player/bryan-smith-60610/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,60671,Maurice,Phelps,Maurice Phelps,PF,6-7,210,,,,,,Mound City,IL,,,,,,,,,,,23988,,Wabash Valley College,,Wabash Valley College,/player/Maurice-Phelps-60671,https://247sports.com/player/maurice-phelps-60671/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,60764,Breon,Key,Breon Key,PG,6-2,170,3.0,81.55555555555556,435.0,88.0,22.0,Hampton,VA,24160.0,520.0,Old Dominion,ODU,Old Dominion Monarchs,24160.0,520.0,Old Dominion,ODU,Old Dominion Monarchs,22138,,Phoebus,,Phoebus,/player/Breon-Key-60764,https://247sports.com/player/breon-key-60764/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,60862,Terrence,King,Terrence King,SG,6-1,185,2.0,76.66666666666667,519.0,127.0,43.0,Oakland,CA,24158.0,505.0,UC Davis,UCD,UC Davis Aggies,24158.0,505.0,UC Davis,UCD,UC Davis Aggies,350,,Bishop O'Dowd,,Bishop O'Dowd,/player/Terrence-King-60862,https://247sports.com/player/terrence-king-60862/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,61388,Tavaras,Sledge,Tavaras Sledge,PF,6-8,210,2.0,76.66666666666667,519.0,109.0,13.0,Brookwood,AL,24341.0,524.0,Wright State,Wright State,Wright State Raiders,24341.0,524.0,Wright State,Wright State,Wright State Raiders,6210,,Brookwood,,Brookwood,/player/Tavaras-Sledge-61388,https://247sports.com/player/tavaras-sledge-61388/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
2011,61425,T.J.,Curry,T.J. Curry,SG,6-0,198,3.0,81.33333333333334,438.0,109.0,11.0,Middle Village,NY,24220.0,546.0,Marist,MAR,Marist Red Foxes,24220.0,546.0,Marist,MAR,Marist Red Foxes,3579,,Christ the King,,Christ the King,/player/T.J.-Curry-61425,https://247sports.com/player/tj-curry-61425/,200,api_profile_url,False,,247sports_api_recruits_plus_profile_jsonld
